City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,cotonou,6.3654,2.4183,85.98,74,40,13.8,BJ,1681411462
300,henties bay,-22.116,14.2845,59.52,82,0,8.41,NA,1681411462
301,port lincoln,-34.7333,135.8667,60.8,74,84,14.32,AU,1681411384
302,teberda,43.4456,41.7448,35.31,92,100,12.77,RU,1681411462
303,menongue,-14.6585,17.691,66.45,72,95,4.94,AO,1681411417
304,prince rupert,54.3161,-130.3201,39.29,92,100,17.27,CA,1681411303
305,isangel,-19.55,169.2667,80.71,89,75,0.0,VU,1681411463
306,merauke,-8.4667,140.3333,76.84,91,100,3.89,ID,1681411463
307,tshela,-4.9833,12.9333,76.55,86,65,0.78,CD,1681411463
308,ahipara,-35.1667,173.1667,61.52,94,23,7.09,NZ,1681411463
309,goundam,16.4145,-3.6708,91.69,12,100,12.59,ML,1681411463
310,timmins,48.4669,-81.3331,64.22,25,40,9.22,CA,1681411376
311,masvingo,-20.0637,30.8277,63.46,54,0,5.7,ZW,1681411464
312,poya,-21.35,165.15,74.25,94,100,5.12,NC,1681411465
313,luanda,-8.8368,13.2343,82.4,69,40,8.05,AO,1681411466
314,uddevalla,58.3478,11.9424,50.99,76,100,5.99,SE,1681411466
315,payo,-3.7508,103.6372,73.81,92,100,1.88,ID,1681411467
316,ulaangom,49.9811,92.0667,23.0,72,14,1.34,MN,1681411467
317,teya,60.3778,92.6267,11.77,96,100,3.4,RU,1681411468
318,abu zabad,12.35,29.25,82.29,13,0,10.07,SD,1681411468
319,bambanglipuro,-7.95,110.2833,77.88,85,100,4.07,ID,1681411469
320,smolensk,55.0,33.0,52.14,57,100,15.9,RU,1681411469
321,bagua grande,-5.7561,-78.4411,84.87,65,99,4.92,PE,1681411470
322,chacabuco,-34.6417,-60.4739,66.97,23,3,8.34,AR,1681411471
323,voh,-20.9667,164.7,73.9,95,100,3.13,NC,1681411471
324,labis,2.385,103.021,75.96,93,82,1.79,MY,1681411471
325,dongsheng,39.8161,109.9776,40.5,32,100,10.58,CN,1681411471
326,avila,40.5833,-5.0,41.13,70,31,7.85,ES,1681411472
327,flinders,-34.5833,150.8552,62.19,90,36,5.99,AU,1681411473
328,santa maria,-29.6842,-53.8069,65.5,82,75,4.61,BR,1681411473
329,riyadh,24.6877,46.7219,69.94,34,100,12.06,SA,1681411200
330,hasaki,35.7333,140.8333,59.4,70,18,18.84,JP,1681411406
331,young,-32.6833,-57.6333,69.71,26,4,8.88,UY,1681411355
332,den helder,52.9599,4.7593,49.96,83,2,20.0,NL,1681411474
333,port keats,-14.25,129.55,74.98,94,100,5.57,AU,1681411475
334,ponta do sol,32.6667,-17.1,68.72,73,58,4.81,PT,1681411475
335,bundaberg,-24.85,152.35,57.22,78,0,6.08,AU,1681411373
336,turukhansk,65.8167,87.9833,-6.7,99,99,5.55,RU,1681411475
337,tairua,-37.0167,175.85,62.69,92,99,10.42,NZ,1681411475
338,yatou,37.15,122.3833,50.31,88,100,10.51,CN,1681411475
339,nanortalik,60.1432,-45.2371,35.22,82,100,3.76,GL,1681411475
340,culebra,18.303,-65.301,84.24,74,14,12.84,PR,1681411476
341,faanui,-16.4833,-151.75,81.43,72,16,9.6,PF,1681411476
342,camacupa,-12.0167,17.4833,63.14,88,58,2.71,AO,1681411476
343,yaan,7.3833,8.5667,92.98,37,57,5.39,NG,1681411476
344,necocli,8.4234,-76.786,84.4,77,90,9.91,CO,1681411476
345,saint anthony,45.0205,-93.218,84.09,34,0,16.11,US,1681411343
346,haapsalu,58.9431,23.5414,52.92,60,100,15.5,EE,1681411476
347,hami,42.8,93.45,53.29,31,100,0.54,CN,1681411476
348,kahului,20.8947,-156.47,74.84,77,40,10.36,US,1681411477
349,sabha,27.0377,14.4283,72.73,10,7,8.48,LY,1681411477
350,qasigiannguit,68.8193,-51.1922,26.85,86,100,1.39,GL,1681411388
351,flin flon,54.7682,-101.865,46.24,39,75,4.61,CA,1681411477
352,vestmannaeyjar,63.4427,-20.2734,45.59,81,100,4.61,IS,1681411477
353,beira,-19.8436,34.8389,77.09,100,0,5.75,MZ,1681411372
354,saint-joseph,-21.3667,55.6167,75.58,83,66,2.26,RE,1681411477
